score,type,episodes,studio1,studio2,source,rating,members,duration_mins,action,adventure,comedy,drama,fantasy,historical,kids,magic,mecha,romance,school,sci_fi,shounen,slice_of_life,supernatural,start_year,num_studios,num_years_running
6.8,OVA,4,NA,NA,Novel,Rx - Hentai,9586,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,0,1
7.19,TV,45,Toei Animation,NA,Manga,PG-13 - Teens 13 or older,9875,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1993,1,1
8.28,TV,79,Other,NA,Manga,PG-13 - Teens 13 or older,57622,25,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1970,1,1
6.82,TV,12,Diomedéa,NA,Manga,R - 17+ (violence & profanity),96749,24,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2007,1,0
6.89,TV,11,Xebec,NA,Manga,R - 17+ (violence & profanity),124593,23,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2007,1,0
7.57,TV,36,Toei Animation,NA,Manga,G - All Ages,3188,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1988,1,1
6.09,TV,NA,Other,NA,Manga,G - All Ages,5481,24,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1969,1,NA
7.47,TV,26,Other,NA,Novel,PG-13 - Teens 13 or older,12664,23,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1999,1,0
6.62,OVA,3,NA,NA,Manga,Rx - Hentai,3033,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,0,2
6.69,OVA,2,Other,NA,Novel,Rx - Hentai,10347,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,1,1
5.78,OVA,2,Other,NA,Manga,Rx - Hentai,3885,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,1,1
6.61,OVA,2,NA,NA,Novel,Rx - Hentai,10903,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,0,1
6.12,OVA,2,Other,NA,Manga,PG-13 - Teens 13 or older,3048,30,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1989,1,1
6.87,TV,25,Nippon Animation,NA,NA,PG-13 - Teens 13 or older,3590,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,1,0
7.04,TV,39,Nippon Animation,NA,NA,PG-13 - Teens 13 or older,1822,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,1,0
6.6,OVA,2,Other,NA,NA,PG-13 - Teens 13 or older,3023,30,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2001,1,0
7.48,Special,3,NA,NA,Manga,G - All Ages,25160,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1998,0,1
6.11,OVA,2,Other,NA,NA,Rx - Hentai,2627,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,1,0
6.24,OVA,3,NA,NA,Novel,Rx - Hentai,2521,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,0,0
6.87,OVA,6,Other,NA,Novel,Rx - Hentai,27466,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2003,1,1
6.98,OVA,3,Other,NA,Novel,Rx - Hentai,7527,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,1,1
5.94,OVA,3,NA,NA,Novel,Rx - Hentai,2195,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,0,0
5.98,OVA,2,NA,NA,Novel,Rx - Hentai,2964,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2004,0,0
5.91,OVA,2,NA,NA,Novel,Rx - Hentai,4626,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,0,0
6.04,OVA,3,NA,NA,Novel,Rx - Hentai,3514,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2003,0,1
6.78,OVA,2,NA,NA,Novel,Rx - Hentai,7130,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,0,1
5.71,OVA,2,NA,NA,Novel,Rx - Hentai,2220,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,0,1
5.92,OVA,2,NA,NA,Novel,Rx - Hentai,1767,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,0,1
6.61,OVA,2,NA,NA,Novel,Rx - Hentai,4411,30,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2000,0,0
6.47,OVA,2,NA,NA,Novel,Rx - Hentai,2547,30,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2001,0,1
5.58,OVA,5,NA,NA,NA,Rx - Hentai,1209,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,0,2
5.72,OVA,2,NA,NA,Novel,Rx - Hentai,2001,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,0,0
6.3,OVA,2,Other,NA,Novel,Rx - Hentai,4750,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,1,1
7,OVA,4,NA,NA,Manga,Rx - Hentai,6696,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,0,2
6,OVA,2,NA,NA,Original,Rx - Hentai,6057,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,0,1
7.71,TV,31,Other,NA,Manga,R+ - Mild Nudity,16026,24,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1982,1,1
5.53,OVA,3,J.C.Staff,NA,Other,PG-13 - Teens 13 or older,2077,27,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1997,1,1
5.52,OVA,2,NA,NA,NA,R - 17+ (violence & profanity),1205,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2005,0,0
6.64,OVA,6,Xebec,NA,Manga,R - 17+ (violence & profanity),2510,13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2005,1,1
7.44,OVA,8,Studio Pierrot,NA,Manga,R - 17+ (violence & profanity),5956,30,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1989,1,2
5.33,OVA,2,J.C.Staff,NA,Game,R+ - Mild Nudity,3525,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,1,0
6.65,OVA,12,Toei Animation,NA,Manga,R - 17+ (violence & profanity),1603,52,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1986,1,13
6.37,Special,5,Studio Hibari,NA,NA,PG - Children,1126,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2006,1,0
5.81,OVA,4,Other,NA,Novel,PG-13 - Teens 13 or older,1885,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1993,1,2
6.61,TV,36,Group TAC,NA,NA,G - All Ages,1998,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,1,6
5.87,OVA,3,NA,NA,NA,Rx - Hentai,2126,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1991,0,1
7.7,TV,1787,Shin-Ei Animation,NA,Manga,PG - Children,38555,11,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1979,1,26
6.03,OVA,2,J.C.Staff,NA,Novel,PG-13 - Teens 13 or older,3170,28,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1995,1,0
6.16,OVA,3,J.C.Staff,NA,Novel,PG-13 - Teens 13 or older,2230,31,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1996,1,1
4.42,ONA,6,Other,NA,Original,R+ - Mild Nudity,2926,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,1,1
5.68,TV,12,TNK,NA,Novel,R+ - Mild Nudity,522307,25,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2007,1,0
5.99,OVA,2,NA,NA,Novel,PG-13 - Teens 13 or older,2073,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,0,0
7.19,TV,38,Sunrise,NA,NA,PG - Children,2665,23,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,2000,1,1
6.37,Special,4,NA,NA,NA,PG-13 - Teens 13 or older,1610,9,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,2005,0,0
7.19,TV,13,NA,NA,Manga,PG-13 - Teens 13 or older,5747,25,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,2003,0,0
6.66,TV,39,Production Reed,NA,Other,G - All Ages,1390,25,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1995,1,0
7.09,TV,52,Other,NA,NA,PG - Children,8725,24,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2005,1,1
6.72,TV,12,Other,NA,Novel,R+ - Mild Nudity,86623,24,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2007,1,0
6.53,TV,13,Madhouse,NA,Other,PG-13 - Teens 13 or older,4612,24,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2001,1,0
6.63,OVA,8,Toei Animation,NA,Manga,R+ - Mild Nudity,7604,26,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1994,1,1
7.22,OVA,3,Madhouse,NA,Manga,PG-13 - Teens 13 or older,9657,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1993,1,1
6.6,TV,26,Nippon Animation,NA,Manga,R+ - Mild Nudity,1437,25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2003,1,1
6.19,TV,42,Nippon Animation,NA,Manga,PG-13 - Teens 13 or older,746,25,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1992,1,1
6.69,OVA,3,Other,NA,Novel,Rx - Hentai,5071,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,1,0
6.36,OVA,2,NA,NA,Novel,Rx - Hentai,3636,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,0,0
7.77,TV,12,Arms,NA,Manga,R - 17+ (violence & profanity),73115,24,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2007,1,0
6.6,TV,26,Production Reed,NA,Original,PG-13 - Teens 13 or older,2137,24,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1981,1,0
6.2,OVA,6,Sunrise,NA,Novel,R - 17+ (violence & profanity),4778,25,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1988,1,0
7.22,TV,12,Other,NA,Manga,PG-13 - Teens 13 or older,2742,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2006,1,0
6.73,Special,2,Toei Animation,NA,Manga,PG - Children,25108,12,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1988,1,NA
5.42,TV,13,NA,NA,NA,PG-13 - Teens 13 or older,2404,23,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2001,0,0
5.73,OVA,2,NA,NA,Manga,PG-13 - Teens 13 or older,1901,28,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1995,0,0
6.24,TV,12,Other,Other,Novel,PG-13 - Teens 13 or older,10782,25,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,2005,2,0
5.41,OVA,3,Other,Other,Original,PG-13 - Teens 13 or older,5423,30,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1997,2,0
5.72,OVA,4,Other,Other,Manga,R+ - Mild Nudity,4359,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1991,2,1
5.82,OVA,2,NA,NA,NA,R+ - Mild Nudity,2427,30,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1996,0,1
5.47,OVA,2,NA,NA,Novel,R+ - Mild Nudity,1950,30,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,0,0
5.87,OVA,7,NA,NA,Manga,Rx - Hentai,6201,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,0,4
6.62,OVA,2,NA,NA,Novel,Rx - Hentai,5484,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,0,1
5.85,OVA,2,NA,NA,Novel,Rx - Hentai,3479,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,0,0
6.34,OVA,4,NA,NA,Novel,Rx - Hentai,3172,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,0,1
6.37,OVA,3,NA,NA,Game,PG - Children,5091,30,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,2004,0,1
6.26,OVA,3,NA,NA,NA,PG - Children,2500,30,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,2001,0,0
5.96,OVA,2,NA,NA,Game,PG - Children,2765,30,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,2000,0,0
6.14,OVA,8,NA,NA,NA,PG - Children,1295,30,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2002,0,1
5.48,OVA,2,Other,NA,Novel,PG-13 - Teens 13 or older,1026,30,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2000,1,1
6.64,OVA,2,Arms,NA,Novel,Rx - Hentai,6976,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,1,0
5.82,OVA,2,NA,NA,Novel,Rx - Hentai,2816,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0
5.45,OVA,2,NA,NA,NA,Rx - Hentai,1962,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,0,0
7.16,TV,45,Other,NA,Manga,PG-13 - Teens 13 or older,7674,24,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1983,1,1
7.12,TV,52,Tatsunoko Production,NA,NA,G - All Ages,6733,25,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1990,1,2
7.27,TV,50,Nippon Animation,NA,Novel,G - All Ages,4403,24,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1981,1,0
6.22,TV,26,Group TAC,NA,Novel,G - All Ages,1412,25,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1976,1,0
6.7,TV,48,Nippon Animation,NA,Novel,G - All Ages,3106,25,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1983,1,0
7.68,TV,46,Nippon Animation,NA,Novel,G - All Ages,15349,25,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1985,1,0
7.43,TV,48,Nippon Animation,NA,Novel,G - All Ages,6478,24,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1987,1,0
7.52,TV,53,Nippon Animation,NA,Novel,G - All Ages,4114,25,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1978,1,0
5.19,OVA,2,J.C.Staff,NA,NA,Rx - Hentai,1577,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1994,1,1
6.32,TV,13,Group TAC,NA,Manga,PG-13 - Teens 13 or older,2077,24,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2007,1,0
7.38,TV,52,Nippon Animation,NA,Novel,G - All Ages,5192,26,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1975,1,0
6.96,TV,51,Nippon Animation,NA,Novel,G - All Ages,4278,26,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1986,1,0
7.36,TV,43,Nippon Animation,NA,Novel,G - All Ages,3235,24,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1988,1,0
6.71,TV,52,NA,NA,Manga,G - All Ages,3501,30,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1989,0,1
7.63,TV,40,Nippon Animation,NA,Other,G - All Ages,5970,23,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1991,1,0
7.58,TV,40,Nippon Animation,NA,NA,G - All Ages,4936,25,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1993,1,0
8.35,TV,33,Nippon Animation,NA,Novel,PG-13 - Teens 13 or older,36828,23,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1995,1,0
7.06,TV,52,Toei Animation,NA,Novel,PG-13 - Teens 13 or older,3535,23,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1978,1,1
7.56,TV,22,Studio Deen,NA,Manga,PG-13 - Teens 13 or older,27986,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2007,1,1
6.44,TV,12,Studio Deen,NA,Original,G - All Ages,16216,24,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,2007,1,0
6.49,TV,26,Other,NA,Manga,G - All Ages,1999,20,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1966,1,1
6.11,TV,24,NA,NA,NA,G - All Ages,723,20,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2000,0,1
6.26,TV,52,Nippon Animation,NA,Novel,G - All Ages,1521,24,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1976,1,1
6.39,TV,52,NA,NA,Novel,G - All Ages,629,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1983,0,2
6.94,TV,52,Nippon Animation,NA,Novel,G - All Ages,5517,30,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1989,1,1
7.05,TV,26,TMS Entertainment,NA,Novel,G - All Ages,2133,25,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1991,1,0
6.44,TV,52,Nippon Animation,NA,Novel,G - All Ages,7250,25,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1975,1,1
6.49,TV,24,Nippon Animation,NA,Novel,G - All Ages,2530,26,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1983,1,1
6.89,TV,50,Nippon Animation,NA,NA,G - All Ages,1640,25,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1982,1,0
5.9,TV,52,Tatsunoko Production,NA,NA,G - All Ages,1422,24,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1972,1,0
5.84,TV,26,NA,NA,Original,G - All Ages,774,25,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1975,0,0
6.69,TV,52,Nippon Animation,NA,Novel,G - All Ages,1979,26,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1977,1,0
7.17,TV,49,Nippon Animation,NA,Novel,G - All Ages,5814,25,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1980,1,0
6.79,TV,52,NA,NA,Original,PG - Children,974,30,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1983,0,2
6.83,TV,26,Nippon Animation,NA,Novel,G - All Ages,3979,25,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1984,1,0
8.14,TV,25,Sunrise,NA,Original,R - 17+ (violence & profanity),183997,24,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2007,1,1
7.73,TV,52,Sunrise,NA,Original,PG-13 - Teens 13 or older,18152,25,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1983,1,1
6.96,OVA,5,Sunrise,NA,Original,PG-13 - Teens 13 or older,2873,30,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1994,1,0
6.36,OVA,2,NA,NA,Novel,Rx - Hentai,5472,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,0,0
6.91,TV,13,feel.,NA,Novel,PG-13 - Teens 13 or older,32907,25,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2007,1,0
7.46,TV,22,Production I.G,NA,Original,PG-13 - Teens 13 or older,120529,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2007,1,1
6.7,TV,54,Sunrise,NA,Original,PG-13 - Teens 13 or older,4567,24,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1984,1,1
7.15,TV,13,Other,NA,Manga,PG-13 - Teens 13 or older,34265,25,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2007,1,0
6.65,TV,12,Zexcs,NA,Novel,PG-13 - Teens 13 or older,15073,24,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2007,1,0
7.02,TV,26,J.C.Staff,NA,Original,PG-13 - Teens 13 or older,21540,24,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2007,1,0
7.9,TV,12,Shaft,NA,Manga,R - 17+ (violence & profanity),285103,24,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2007,1,0
7.46,TV,26,Other,NA,Manga,PG-13 - Teens 13 or older,25938,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,1,1
6.23,TV,13,NA,NA,Novel,PG-13 - Teens 13 or older,4187,25,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1999,0,0
5.63,OVA,4,NA,NA,Novel,Rx - Hentai,1869,30,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1995,0,0
6.76,Movie,2,Other,NA,Original,PG - Children,8257,36,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1972,1,1
6.64,TV,130,Studio Pierrot,NA,Novel,PG - Children,1565,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1983,1,1
6.52,TV,24,Nippon Animation,NA,NA,PG-13 - Teens 13 or older,1757,23,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1999,1,1
6.43,Special,2,Other,NA,Original,PG - Children,5912,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2000,1,2
7.93,TV,26,Madhouse,TMS Entertainment,Novel,PG-13 - Teens 13 or older,14131,24,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1978,2,1
6.6,TV,26,Other,Other,Novel,PG - Children,7042,23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2006,2,0
6.71,TV,26,NA,NA,Novel,PG - Children,3685,23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2007,0,0
7.06,TV,26,TMS Entertainment,NA,Novel,G - All Ages,1559,25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1992,1,1
6.21,OVA,6,Madhouse,NA,Novel,PG-13 - Teens 13 or older,1266,25,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1990,1,0
7.38,Special,5,Toei Animation,NA,Manga,PG-13 - Teens 13 or older,23779,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2006,1,0
6.54,OVA,4,NA,NA,Original,Rx - Hentai,2027,28,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1998,0,1
7.27,TV,12,Other,NA,Game,R - 17+ (violence & profanity),30201,24,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2007,1,0
6.83,TV,13,TMS Entertainment,NA,Manga,PG-13 - Teens 13 or older,7431,25,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2007,1,0
8.31,OVA,3,Production I.G,NA,Manga,R - 17+ (violence & profanity),82168,30,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,2007,1,1
6.2,TV,96,Other,NA,Manga,G - All Ages,2398,25,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1963,1,2
6.07,TV,39,Other,NA,NA,G - All Ages,657,25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1967,1,0
6.6,TV,31,Production I.G,Tatsunoko Production,Game,PG-13 - Teens 13 or older,4145,24,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1987,2,0
6.84,OVA,3,NA,NA,NA,R+ - Mild Nudity,2670,45,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1991,0,0
5.96,OVA,3,J.C.Staff,NA,Manga,PG-13 - Teens 13 or older,2756,30,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1997,1,1
6.87,TV,25,Madhouse,NA,Manga,R+ - Mild Nudity,2074,23,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2000,1,0
6.6,OVA,2,Sunrise,NA,Novel,R - 17+ (violence & profanity),2560,57,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1989,1,0
6.12,OVA,12,Studio Pierrot,NA,Novel,R - 17+ (violence & profanity),1081,28,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1989,1,1
6.41,TV,13,Other,Other,NA,PG-13 - Teens 13 or older,1929,24,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1999,2,0
6.19,TV,13,Xebec,Other,NA,PG-13 - Teens 13 or older,1097,24,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1999,3,0
NA,TV,104,Xebec,NA,NA,NA,221,15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1999,1,1
6.24,TV,18,Xebec,NA,NA,G - All Ages,1013,40,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1999,1,0
6.63,TV,22,Xebec,NA,Manga,G - All Ages,4137,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1998,1,1
6.64,TV,26,Xebec,NA,Manga,PG-13 - Teens 13 or older,3697,24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1998,1,1
6.78,TV,51,Production I.G,Xebec,Manga,G - All Ages,8421,25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1996,2,0
6.96,TV,51,Xebec,NA,Manga,G - All Ages,4674,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1997,1,0
6.72,TV,97,Other,NA,NA,PG - Children,901,24,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2005,1,2
NA,TV,26,Other,TMS Entertainment,Original,G - All Ages,216,15,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1996,2,1
6.58,TV,51,Xebec,NA,Manga,G - All Ages,2915,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1998,1,0
6.86,TV,26,Xebec,NA,Game,PG - Children,5279,10,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,2006,1,0
5.96,OVA,2,NA,NA,Novel,PG-13 - Teens 13 or older,1044,30,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1995,0,0
6.93,TV,33,Studio Deen,NA,Manga,R - 17+ (violence & profanity),1612,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1998,1,0
6.86,TV,24,NA,NA,Original,PG-13 - Teens 13 or older,3238,24,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2006,0,1
6.23,TV,27,Other,NA,Manga,G - All Ages,1475,23,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1972,1,0
5.33,TV,25,Madhouse,NA,Game,PG - Children,4257,25,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,2007,1,1
5.79,OVA,2,Studio Deen,NA,NA,Rx - Hentai,1603,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2000,1,1
6.1,TV,24,Other,NA,Manga,PG-13 - Teens 13 or older,2454,8,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1999,1,0
7.71,Special,2,Gainax,NA,Other,PG - Children,15541,5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1981,1,2
6.46,OVA,2,NA,NA,Manga,R - 17+ (violence & profanity),4778,47,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1991,0,0
5.77,TV,18,Madhouse,NA,Original,G - All Ages,2441,3,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2004,1,0
4.92,OVA,2,J.C.Staff,NA,Manga,R+ - Mild Nudity,7479,28,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1990,1,0
5.93,OVA,6,Sunrise,NA,NA,PG-13 - Teens 13 or older,756,30,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1999,1,0
6.56,TV,53,NA,NA,Original,G - All Ages,705,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2002,0,0
6.44,Movie,3,Production I.G,NA,Original,PG - Children,2736,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,1,0
NA,TV,52,Sunrise,Other,NA,PG - Children,372,25,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2003,2,1
7.12,TV,74,OLM,NA,NA,G - All Ages,1970,25,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1995,1,2
